Date,Snow Water Equivalent (in) Start of Day Values,Change In Snow Water Equivalent (in),Snow Depth (in) Start of Day Values,Change In Snow Depth (in),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF)
2015-04-17,17.9,0.7,63,11,20.1,33.4,8.8
2015-04-18,18.9,1,69,6,21,33.4,12.2
2015-04-19,19.3,0.4,68,-1,21.7,31.6,13.5
2015-04-20,19.4,0.1,67,-1,23.7,36,17.8
2015-04-21,19.9,0.5,68,1,29.3,44.6,20.7
2015-04-22,19.9,0,65,-3,31.3,47.7,20.3
2015-04-23,19.9,0,64,-1,30,44.4,20.5
2015-04-24,20,0.1,63,-1,27.9,43.9,18.7
2015-04-25,20.1,0.1,63,0,29.8,42.6,21.6
2015-04-26,20.7,0.6,69,6,26.8,35.6,22.1
2015-04-27,21,0.3,70,1,27.1,38.1,21.4
2015-04-28,20.9,-0.1,67,-3,31.6,50.7,14.5
2015-04-29,20.8,-0.1,63,-4,37,52.5,25.3
2015-04-30,20.6,-0.2,61,-2,38.8,57,27.7
2015-05-01,19.9,-0.7,60,-1,36.5,55,28
2015-05-02,19.7,-0.2,59,-1,38.5,51.6,30.4
2015-05-03,19.6,-0.1,58,-1,38.1,53.8,30
2015-05-04,19.4,-0.2,57,-1,34.9,49.5,29.7
2015-05-05,19.5,0.1,56,-1,33.8,40.3,27.9
2015-05-06,19.5,0,56,0,33.4,44.4,29.1
2015-05-07,19.7,0.2,56,0,33.3,47.8,27.3
2015-05-08,19.7,0,55,-1,31.8,44.1,27.1
2015-05-09,20.5,0.8,58,3,27.1,42.8,16.9
2015-05-10,21.3,0.8,65,7,21.4,34.3,14
2015-05-11,21.4,0.1,63,-2,28.2,41.9,16.7
2015-05-12,21.5,0.1,60,-3,38.8,53.2,29.1
2015-05-13,21.2,-0.3,58,-2,35.6,44.6,30.6
2015-05-14,21.2,0,58,0,37,48.9,28.4
2015-05-15,21.1,-0.1,58,0,30,41.9,17.4
2015-05-16,21.2,0.1,58,0,26.2,39.9,15.4
2015-05-17,21.5,0.3,61,3,30,40.8,23.5
2015-05-18,21.9,0.4,62,1,32.5,48.2,22.3
2015-05-19,22.2,0.3,64,2,29.7,40.5,25
2015-05-20,22.7,0.5,66,2,32.4,45.7,22.3
2015-05-21,22.6,-0.1,62,-4,34.5,53.1,26.8
2015-05-22,22.6,0,61,-1,34.2,48.2,28
2015-05-23,22.6,0,61,0,28.8,43.5,19
2015-05-24,22.8,0.2,61,0,30.4,46.8,18.7
2015-05-25,22.7,-0.1,60,-1,33.3,47.8,24.8
2015-05-26,22.4,-0.3,58,-2,36.3,51.3,28.8
2015-05-27,22.1,-0.3,57,-1,37.9,51.4,27.9
2015-05-28,21.7,-0.4,56,-1,35.8,51.4,26.2
2015-05-29,21,-0.7,54,-2,32.9,47.3,24.6
2015-05-30,20.9,-0.1,54,0,39.9,55.6,24.1
2015-05-31,20.2,-0.7,51,-3,43.5,58.3,33.1
2015-06-01,19.5,-0.7,49,-2,45.7,62.2,36
2015-06-02,19.5,0,47,-2,48.4,61.7,37.9
2015-06-03,18.9,-0.6,43,-4,46.2,59.4,35.1
2015-06-04,18.2,-0.7,41,-2,48,62.2,35.6
2015-06-05,17.2,-1,37,-4,39.9,53.1,32.4
2015-06-06,17.1,-0.1,35,-2,40.3,54,31.5
2015-06-07,16.3,-0.8,34,-1,40.6,55.6,30.2
2015-06-08,15.3,-1,31,-3,43.9,58.6,31.3
2015-06-09,14.2,-1.1,28,-3,46.6,61.9,36
2015-06-10,13.1,-1.1,26,-2,43.2,52.7,36.9
2015-06-11,12.3,-0.8,24,-2,40.1,55.8,33.1
2015-06-12,12.3,0,22,-2,41.9,55.2,34.3
2015-06-13,12.3,0,19,-3,43,57.6,34.9
2015-06-14,9.9,-2.4,15,-4,44.1,56.5,35.1
2015-06-15,8.5,-1.4,15,0,45.3,59.4,35.2
2015-06-16,7.7,-0.8,11,-4,46,57.7,38.8
2015-06-17,6.1,-1.6,10,-1,49.3,63.3,38.1
2015-06-18,4.3,-1.8,8,-2,51.4,65.3,39.9
2015-06-19,0.8,-3.5,3,-5,54.1,67.6,40.5
2015-06-20,0,-0.8,0,-3,54.9,66.9,41.7
2015-06-21,0,0,0,0,58.6,69.6,45.5
2015-06-22,0,0,0,0,57.7,70.3,44.8
2015-06-23,0,0,0,0,54.9,69.6,42.3
2015-06-24,0,0,0,0,52.5,67.1,41
2015-06-25,0,0,0,0,51.3,66,41.4
2015-06-26,0,0,0,0,51.1,66.4,38.7
2015-06-27,0,0,0,0,51.8,65.5,40.1
2015-06-28,0,0,0,0,51.3,66.9,41.7
2015-06-29,0,0,0,0,51.8,66.2,42.3
2015-06-30,0,0,0,0,55,70.9,42.4
2015-07-01,0,0,0,0,52.5,68.7,42.4
2015-07-02,0,0,0,0,51.4,65.8,42.8
2015-07-03,0,0,0,0,53.4,69.1,43
2015-07-04,0,0,0,0,54.9,67.1,42.6
2015-07-05,0,0,0,0,49.8,60.6,42.4
2015-07-06,0,0,0,0,46.6,60.4,41.4
2015-07-07,0,0,0,0,44.8,57.6,39.6
2015-07-08,0,0,0,0,41.9,51.3,37.2
2015-07-09,0,0,0,0,44.8,60.6,36.3
2015-07-10,0,0,0,0,45.5,58.8,36
2015-07-11,0,0,0,0,48.6,62.2,37.4
2015-07-12,0,0,0,0,53.8,66.4,45.5
2015-07-13,0,0,0,0,49.1,64.2,39.2
2015-07-14,0,0,0,0,45.3,60.6,39
2015-07-15,0,0,0,0,45.9,60.6,36.9
2015-07-16,0,0,0,0,49.5,63.7,38.5
2015-07-17,0,0,0,0,51.1,63.9,41.4
2015-07-18,0,0,0,0,48.2,63.7,39.9
2015-07-19,0,0,0,0,45.7,53.1,38.7
2015-07-20,0,0,0,0,44.4,59.7,36.5
2015-07-21,0,0,0,0,45.5,55.4,39.2
2015-07-22,0,0,0,0,47.1,61.3,38.8
2015-07-23,0,0,0,0,53.2,66.6,40.6
2015-07-24,0,0,0,0,46.4,57.4,38.7
2015-07-25,0,0,0,0,50.9,66.9,36.9
2015-07-26,0,0,0,0,52.2,64.4,41
2015-07-27,0,0,0,0,54.9,66.6,43.5
2015-07-28,0,0,0,0,51.6,65.5,39.2
2015-07-29,0,0,0,0,51.1,67.1,38.7
2015-07-30,0,0,0,0,51.1,67.8,40.1
2015-07-31,0,0,0,0,51.4,64.9,41.4
2015-08-01,0,0,0,0,53.4,68.9,43
2015-08-02,0,0,0,0,49.5,61.9,43.9
2015-08-03,0,0,0,0,48.6,59.4,44.1
2015-08-04,0,0,0,0,50,62.6,42.3
2015-08-05,0,0,0,0,55.2,66.9,42.1
2015-08-06,0,0,0,0,53.1,64.2,44.4
2015-08-07,0,0,0,0,49.8,65.1,41.4
2015-08-08,0,0,0,0,48.6,63.1,38.8
2015-08-09,0,0,0,0,49.1,63.9,38.3
2015-08-10,0,0,0,0,47.7,59.9,38.5
2015-08-11,0,0,0,0,48.2,63.5,40.5
2015-08-12,0,0,0,0,50.7,63.3,41.7
2015-08-13,0,0,0,0,52.9,65.8,43.2
2015-08-14,0,0,0,0,50.2,68,43
2015-08-15,0,0,0,0,53.8,70,43.5
2015-08-16,0,0,0,0,51.6,67.8,43
2015-08-17,0,0,0,0,50,63.3,41.7
2015-08-18,0,0,0,0,45.3,58.6,35.8
2015-08-19,0,0,0,0,42.1,54.3,29.8
2015-08-20,0,0,0,0,48.6,60.6,38.8
2015-08-21,0,0,0,0,52.2,64.9,44.4
2015-08-22,0,0,0,0,50.2,61.2,35.8
2015-08-23,0,0,0,0,51.1,64.2,41.4
2015-08-24,0,0,0,0,52,68,41.9
2015-08-25,0,0,0,0,52.2,69.6,42.4
2015-08-26,0,0,0,0,51.6,63.9,42.3
2015-08-27,0,0,0,0,45.3,56.1,38.1
2015-08-28,0,0,0,0,46,58.6,37.2
2015-08-29,0,0,0,0,50.7,64.2,37.9
2015-08-30,0,0,0,0,52,68,42.4
2015-08-31,0,0,0,0,44.8,57,38.5
2015-09-01,0,0,0,0,47.3,59.5,38.1
2015-09-02,0,0,0,0,49.5,63.5,39.2
2015-09-03,0,0,0,0,44.1,52,37.9
2015-09-04,0,0,0,0,44.1,55.8,36.5
2015-09-05,0,0,0,0,44.6,56.1,37.9
2015-09-06,0,0,0,0,45.9,58.5,38.7
2015-09-07,0,0,0,0,42.1,52.5,36.5
2015-09-08,0,0,0,0,44.2,56.1,36.3
2015-09-09,0,0,0,0,45.7,61.5,34.2
2015-09-10,0,0,0,0,46,60.6,34.2
2015-09-11,0,0,0,0,46.4,60.6,36.7
2015-09-12,0,0,0,0,48,63.5,36.9
2015-09-13,0,0,0,0,48.4,61.3,38.1
2015-09-14,0,0,0,0,48.2,59.7,38.8
2015-09-15,0,0,0,0,43.9,53.8,38.7
2015-09-16,0,0,0,0,46.6,57.2,38.8
2015-09-17,0,0,0,0,46.6,59.9,39.2
2015-09-18,0,0,0,0,41.7,54.1,34
2015-09-19,0,0,0,0,41.9,55,32
2015-09-20,0,0,0,0,44.6,60.6,33.1
2015-09-21,0,0,0,0,47.8,64.2,34.7
2015-09-22,0,0,0,0,45.7,57.6,38.3
2015-09-23,0,0,0,0,45,58.8,37
2015-09-24,0,0,0,0,44.8,60.8,35.2
2015-09-25,0,0,0,0,47.1,63,35.2
2015-09-26,0,0,0,0,49.5,64.8,37.8
2015-09-27,0,0,0,0,49.5,66.2,37.9
2015-09-28,0,0,0,0,46.6,59.2,36.1
2015-09-29,0,0,0,0,44.8,59,35.1
2015-09-30,0,0,0,0,42.8,51.1,37
2015-10-01,0,0,0,0,46.6,59.9,38.1
2015-10-02,0,0,0,0,45,57.4,31.8
2015-10-03,0,0,0,0,38.3,50.2,31.3
2015-10-04,0,0,0,0,37.4,50.9,28
2015-10-05,0,0,0,0,37.4,52.9,30.6
2015-10-06,0,0,0,0,36.5,47.5,30.9
2015-10-07,0,0,0,0,34.9,47.8,28.8
2015-10-08,0,0,0,0,39.2,52.9,30
2015-10-09,0,0,0,0,41.2,54.1,30.2
2015-10-10,0,0,0,0,43.9,57.9,34.3
2015-10-11,0,0,0,0,43.7,53.6,35.1
2015-10-12,0,0,0,0,41.2,54.9,32.4
2015-10-13,0,0,0,0,43.5,54.9,37.4
2015-10-14,0,0,0,0,42.8,57.4,33.4
2015-10-15,0,0,0,0,39,55,27.1
2015-10-16,0,0,0,0,41.9,55.6,30.4
2015-10-17,0,0,0,0,40.8,55.6,32.2
2015-10-18,0,0,0,0,39.4,47.5,32.7
2015-10-19,0,0,0,0,36.3,43.2,30.7
2015-10-20,0,0,0,0,34.9,46.2,28.2
2015-10-21,0.2,0.2,1,1,28.8,32,24.1
2015-10-22,0.3,0.1,1,0,29.5,35.1,27.3
2015-10-23,1.3,1,10,9,27.5,34.2,21.6
2015-10-24,1.5,0.2,11,1,25,39.4,17.2
2015-10-25,1.5,0,9,-2,30.4,45.7,20.5
2015-10-26,1.5,0,8,-1,30.2,38.1,24.4
2015-10-27,1.5,0,7,-1,22.6,30.6,14.9
2015-10-28,1.9,0.4,11,4,25.2,34.3,14.7
2015-10-29,1.9,0,9,-2,28.2,37.8,22.6
2015-10-30,1.9,0,9,0,23.5,28.8,17.4
2015-10-31,2,0.1,10,1,26.8,32.9,20.8
2015-11-01,2.1,0.1,10,0,32.7,42.4,26.8
2015-11-02,2.1,0,9,-1,35.8,49.1,27
2015-11-03,2.1,0,8,-1,35.2,42.3,30
2015-11-04,2.1,0,8,0,27.1,35.1,17.2
2015-11-05,2.3,0.2,12,4,16,23.5,11.7
2015-11-06,2.5,0.2,14,2,12.4,16.5,6.6
2015-11-07,2.6,0.1,14,0,20.1,36.5,1.9
2015-11-08,2.6,0,13,-1,27.9,44.4,20.3
2015-11-09,2.6,0,12,-1,27.1,39.6,18.3
2015-11-10,2.6,0,12,0,26.8,36.9,17.4
2015-11-11,3.1,0.5,19,7,12.2,17.4,4.6
2015-11-12,3.5,0.4,22,3,14.9,23.4,8.4
2015-11-13,3.5,0,20,-2,20.7,32.9,12.9
2015-11-14,3.5,0,18,-2,24.3,40.1,18
2015-11-15,3.5,0,17,-1,23.9,35.2,14.9
2015-11-16,3.5,0,16,-1,21.4,28.8,14.5
2015-11-17,3.9,0.4,22,6,11.3,14.7,7.7
2015-11-18,4.1,0.2,21,-1,15.8,18.3,13.3
2015-11-19,4.6,0.5,28,7,18.9,23.5,13.5
2015-11-20,4.7,0.1,26,-2,15.3,25,-2.9
2015-11-21,5.4,0.7,33,7,7.2,17.4,-7.4
2015-11-22,5.4,0,29,-4,19,31.5,11.8
2015-11-23,5.4,0,26,-3,21.9,33.4,15.3
2015-11-24,5.4,0,25,-1,24.3,33.1,17.8
2015-11-25,5.4,0,24,-1,27.3,37.2,19.4
2015-11-26,5.4,0,22,-2,9.9,23.7,-0.9
2015-11-27,5.4,0,24,2,13.1,23.5,-0.4
2015-11-28,5.4,0,23,-1,13.5,20.3,5.7
2015-11-29,5.5,0.1,23,0,10.6,19,2.8
2015-11-30,5.5,0,24,1,0.3,4.6,-2.6
2015-12-01,5.6,0.1,24,0,5,10,-3.5
2015-12-02,5.7,0.1,24,0,15.6,24.8,6.6
2015-12-03,5.7,0,23,-1,18.3,25.2,12.6
2015-12-04,5.7,0,23,0,27.5,38.1,19
2015-12-05,5.7,0,23,0,14.5,22.3,7.5
2015-12-06,5.7,0,24,1,24.6,34.7,11.3
2015-12-07,5.7,0,23,-1,27.5,34.5,18
2015-12-08,5.8,0.1,23,0,23.9,28.4,21.2
2015-12-09,5.8,0,23,0,31.6,39,23.4
2015-12-10,5.8,0,22,-1,28.4,34.7,17.4
2015-12-11,5.8,0,22,0,21.9,28.2,16
2015-12-12,5.9,0.1,23,1,14.5,21.4,5
2015-12-13,6.3,0.4,31,8,15.4,24.8,3
2015-12-14,6.3,0,29,-2,18.9,25.5,10.9
2015-12-15,6.8,0.5,33,4,4.3,12.2,-1.8
2015-12-16,7.2,0.4,35,2,-0.4,4.3,-4
2015-12-17,7.3,0.1,34,-1,-0.9,7,-5.3
2015-12-18,7.5,0.2,34,0,16,25,6.3
2015-12-19,7.6,0.1,33,-1,24.3,32.4,15.8
2015-12-20,7.6,0,32,-1,16.9,23.5,11.3
2015-12-21,7.6,0,33,1,14.2,18.3,11.1
2015-12-22,7.9,0.3,36,3,17.2,23,9
2015-12-23,8.3,0.4,41,5,5,12.7,-3.5
2015-12-24,8.8,0.5,43,2,-0.4,4.6,-6
2015-12-25,8.8,0,41,-2,7.2,16.7,-1.1
2015-12-26,9,0.2,41,0,-5.3,2.1,-11.2
2015-12-27,9,0,39,-2,5,20.5,-9.9
2015-12-28,9,0,38,-1,8.8,18.3,0.9
2015-12-29,9,0,38,0,3.9,15.1,-2
2015-12-30,9,0,37,-1,0.3,9.9,-7.2
2015-12-31,9,0,37,0,-3.6,5.7,-8.3
2016-01-01,9,0,37,0,3,17.1,-6.3
2016-01-02,9,0,37,0,12.9,25.5,4.5
2016-01-03,9.1,0.1,36,-1,17.4,27.9,10.4
2016-01-04,9.1,0,36,0,19.2,30.7,13.8
2016-01-05,9.1,0,35,-1,17.6,27.7,10.2
2016-01-06,9.1,0,36,1,16.3,25.3,9.5
2016-01-07,9.2,0.1,35,-1,14.2,20.8,8.1
2016-01-08,9.2,0,37,2,8.4,14.2,3
2016-01-09,9.3,0.1,37,0,5.7,14.2,-0.4
2016-01-10,9.3,0,38,1,1,8.4,-4.5
2016-01-11,9.3,0,37,-1,9.1,16.2,-0.2
2016-01-12,9.3,0,37,0,15.8,25.3,7
2016-01-13,9.3,0,37,0,21,29.3,13.8
2016-01-14,9.4,0.1,36,-1,11.3,19.8,5.5
2016-01-15,9.4,0,38,2,7.5,16.5,2.5
2016-01-16,9.7,0.3,41,3,5.5,13.5,-1.7
2016-01-17,9.8,0.1,41,0,12,15.6,8.8
2016-01-18,10.1,0.3,44,3,18.3,27.9,11.5
2016-01-19,10.2,0.1,43,-1,14.7,21.4,8.2
2016-01-20,10.3,0.1,44,1,11.1,20.1,3
2016-01-21,10.5,0.2,46,2,8.6,18.3,4.5
2016-01-22,10.5,0,45,-1,21.6,32.2,14
2016-01-23,10.6,0.1,44,-1,26.4,36.3,19.9
2016-01-24,10.6,0,43,-1,16.2,26.4,7.2
2016-01-25,10.7,0.1,44,1,5.9,15.1,0.7
2016-01-26,10.8,0.1,45,1,5.5,15.3,-4.2
2016-01-27,10.8,0,44,-1,18.9,27.9,13.6
2016-01-28,10.8,0,43,-1,22.1,32.9,14.4
2016-01-29,10.9,0.1,43,0,21,25.5,16.2
2016-01-30,11,0.1,43,0,23.9,31.5,12.7
2016-01-31,11.6,0.6,50,7,11.1,19.9,5.5
2016-02-01,12.1,0.5,54,4,9,17.8,-1.7
2016-02-02,12.4,0.3,55,1,-2,7.3,-7.6
2016-02-03,12.5,0.1,54,-1,-7.2,-1.8,-13
2016-02-04,12.6,0.1,54,0,3.2,12.4,-10.3
2016-02-05,12.7,0.1,53,-1,3,9.1,-2
2016-02-06,12.7,0,53,0,14.9,23.5,6.1
2016-02-07,12.8,0.1,52,-1,15.3,21.2,10.9
2016-02-08,12.8,0,51,-1,19,27.1,14
2016-02-09,12.8,0,50,-1,22.1,31.8,15.6
2016-02-10,12.8,0,50,0,26.6,39.6,16.5
2016-02-11,12.8,0,49,-1,27.5,36.3,21
2016-02-12,12.8,0,49,0,31.3,41.2,25
2016-02-13,12.8,0,48,-1,28,37.4,18.3
2016-02-14,12.8,0,48,0,18.3,24.4,14.5
2016-02-15,13.1,0.3,53,5,21,25.3,14.7
2016-02-16,13.4,0.3,54,1,23.5,31.3,17.6
2016-02-17,13.5,0.1,54,0,32,45,20.1
2016-02-18,13.6,0.1,54,0,28.4,38.3,12.2
2016-02-19,13.7,0.1,55,1,23.5,36.5,11.3
2016-02-20,13.8,0.1,53,-2,25.9,36.9,18.3
2016-02-21,13.8,0,53,0,22.5,35.1,14.2
2016-02-22,13.8,0,52,-1,15.4,22.3,7.9
2016-02-23,13.9,0.1,54,2,7.7,20.8,-1.1
2016-02-24,13.9,0,54,0,12.6,24.3,1
2016-02-25,13.9,0,53,-1,19.8,32,10.6
2016-02-26,13.9,0,53,0,24.8,39.9,13.8
2016-02-27,13.9,0,52,-1,28.2,39.6,19.6
2016-02-28,13.9,0,52,0,23.2,38.3,9.9
2016-02-29,14,0.1,51,-1,21.4,31.3,10
2016-03-01,14,0,53,2,20.3,29.8,5.4
2016-03-02,14.1,0.1,52,-1,21.6,27.7,15.4
2016-03-03,14.4,0.3,55,3,26.8,40.3,12
2016-03-04,14.4,0,53,-2,26.6,37.2,18.7
2016-03-05,14.4,0,53,0,30.7,43.5,19.2
2016-03-06,14.4,0,53,0,28,37.4,22.6
2016-03-07,14.4,0,52,-1,18.9,24.6,12.2
2016-03-08,14.5,0.1,53,1,15.3,32.4,4.1
2016-03-09,14.5,0,53,0,16.9,30.2,6.8
2016-03-10,14.5,0,52,-1,25.7,41.4,15.1
2016-03-11,14.6,0.1,53,1,36.7,52.2,25.9
2016-03-12,14.6,0,52,-1,28.8,38.7,21.6
2016-03-13,14.7,0.1,54,2,26.6,36.9,19.8
2016-03-14,14.7,0,53,-1,20.8,26.8,9.5
2016-03-15,15.4,0.7,63,10,8.8,15.1,3.2
2016-03-16,15.9,0.5,64,1,10.6,18,3.6
2016-03-17,16.2,0.3,65,1,16,25.2,10
2016-03-18,16.6,0.4,69,4,11.1,20.3,6.8
2016-03-19,16.8,0.2,67,-2,11.1,23.2,5
2016-03-20,16.8,0,66,-1,23.2,38.1,6.8
2016-03-21,16.9,0.1,64,-2,32.7,43.7,24.1
2016-03-22,16.9,0,62,-2,28.8,39.2,17.1
2016-03-23,17,0.1,63,1,13.6,18.3,11.3
2016-03-24,17.8,0.8,72,9,16.3,30.2,8.2
2016-03-25,17.9,0.1,71,-1,13.6,27.3,-2
2016-03-26,18.4,0.5,75,4,8.1,19.9,-4.5
2016-03-27,18.5,0.1,74,-1,16.7,32,1.2
2016-03-28,18.6,0.1,71,-3,28.4,41.7,15.3
2016-03-29,18.6,0,69,-2,25.9,42.6,12
2016-03-30,18.7,0.1,68,-1,12.9,23.7,4.3
2016-03-31,18.9,0.2,73,5,11.3,25,-0.9
2016-04-01,19,0.1,73,0,13.5,25.7,0
2016-04-02,19.1,0.1,71,-2,24.4,43.2,7.9
2016-04-03,19.2,0.1,68,-3,29.5,43.9,20.8
2016-04-04,19.2,0,66,-2,33.8,47.7,20.3
2016-04-05,19.2,0,64,-2,21.9,33.8,13.6
2016-04-06,19.4,0.2,68,4,26.4,41.9,12
2016-04-07,19.4,0,65,-3,30.9,47.3,20.3
2016-04-08,19.4,0,64,-1,32.7,47.1,20.3
2016-04-09,19.4,0,63,-1,31.3,45.5,25.2
2016-04-10,19.7,0.3,64,1,30.6,45.9,19.9
2016-04-11,19.9,0.2,63,-1,30,42.1,20.1
2016-04-12,20,0.1,63,0,31.6,46,21.7
2016-04-13,20,0,63,0,33.1,50.4,22.3
2016-04-14,20.1,0.1,62,-1,35.1,48.4,26.4
2016-04-15,20.2,0.1,62,0,25.2,32.2,17.2
2016-04-16,21.2,1,75,13,17.6,26.2,14.2
2016-04-17,22.2,1,82,7,18.7,31.6,12.7
2016-04-18,22.4,0.2,78,-4,20.1,34,12.2
2016-04-19,22.5,0.1,77,-1,21.9,36,12.4
2016-04-20,22.7,0.2,75,-2,26.4,38.8,17.4
2016-04-21,22.9,0.2,74,-1,34,52.2,22.6
2016-04-22,22.9,0,70,-4,39,55.9,24.6
2016-04-23,22.6,-0.3,68,-2,35.2,51.3,22.1
2016-04-24,22.8,0.2,68,0,28.2,39.2,19.9
2016-04-25,23,0.2,67,-1,32.7,47.7,20.8
2016-04-26,23,0,68,1,23.4,36.7,15.6
2016-04-27,23.1,0.1,69,1,23.9,36.3,17.1
2016-04-28,23.2,0.1,67,-2,25,37.8,18.3
2016-04-29,23.3,0.1,68,1,20.8,29.3,16.3
2016-04-30,23.8,0.5,73,5,19.6,32,12.6
2016-05-01,24.1,0.3,77,4,17.4,27.5,9.3
2016-05-02,24.2,0.1,76,-1,26.4,42.8,11.5
2016-05-03,23.9,-0.3,70,-6,31.5,47.5,16.5
2016-05-04,22.9,-1,67,-3,38.1,55.2,23.5
2016-05-05,21.9,-1,64,-3,42.4,56.1,29.8
2016-05-06,21.8,-0.1,62,-2,42.1,54.7,34.3
2016-05-07,21.6,-0.2,61,-1,31.8,47.1,21.9
2016-05-08,21.7,0.1,61,0,27.3,42.1,21.6
2016-05-09,21.9,0.2,64,3,30.6,40.3,23.4
2016-05-10,22.4,0.5,64,0,29.1,39,16.3
2016-05-11,22.7,0.3,66,2,27,43,15.4
2016-05-12,22.7,0,63,-3,35.6,51.6,20.1
2016-05-13,22.5,-0.2,61,-2,41.9,55.4,32.4
2016-05-14,21.9,-0.6,58,-3,41.9,57,30.4
2016-05-15,21.3,-0.6,55,-3,36,47.5,27.7
2016-05-16,21.5,0.2,56,1,29.7,45.3,22.3
2016-05-17,21.8,0.3,59,3,28.2,40.6,22.1
2016-05-18,21.9,0.1,57,-2,33.3,47.8,21.6
2016-05-19,21.8,-0.1,56,-1,36.5,49.5,27.9
2016-05-20,21.5,-0.3,54,-2,42.8,57.6,32.4
2016-05-21,21.1,-0.4,51,-3,46,56.1,37.4
2016-05-22,20.4,-0.7,49,-2,40.1,57,27
2016-05-23,19.8,-0.6,47,-2,35.2,47.5,26.2
2016-05-24,19.4,-0.4,45,-2,39.2,52.7,27.3
2016-05-25,19,-0.4,44,-1,37,49.8,26.4
2016-05-26,18.4,-0.6,42,-2,32.4,46.4,24.3
2016-05-27,18.2,-0.2,42,0,30.7,41.2,27
2016-05-28,18.4,0.2,43,1,33.4,49.3,24.4
2016-05-29,18.2,-0.2,39,-4,37.4,55.6,26.4
2016-05-30,17.9,-0.3,39,0,38.8,55,28.4
2016-05-31,17.5,-0.4,37,-2,38.3,53.6,27
2016-06-01,17.1,-0.4,36,-1,40.5,54.9,28
2016-06-02,16.5,-0.6,33,-3,44.4,57.6,30.6
2016-06-03,15.8,-0.7,30,-3,45.5,57.6,37.8
2016-06-04,14.2,-1.6,27,-3,45.7,61.3,34
2016-06-05,12.4,-1.8,23,-4,47.1,61.7,36.3
2016-06-06,10.7,-1.7,20,-3,47.5,63.9,36.3
2016-06-07,8.7,-2,17,-3,47.3,65.5,37.4
2016-06-08,7.4,-1.3,14,-3,45.7,60.4,36.3
2016-06-09,6.4,-1,12,-2,47.5,63.3,35.2
2016-06-10,4.7,-1.7,9,-3,52.2,66.2,40.8
2016-06-11,2.1,-2.6,5,-4,49.8,64.4,38.8
2016-06-12,0.8,-1.3,2,-3,45.9,59.2,36.5
2016-06-13,1.1,0.3,3,1,40.8,55.4,31.8
2016-06-14,1,-0.1,2,-1,41.9,53.6,32.2
2016-06-15,0,-1,0,-2,50.4,65.7,35.2
2016-06-16,0,0,0,0,50.9,65.3,38.8
2016-06-17,0,0,0,0,48.6,63.1,37.9
2016-06-18,0,0,0,0,54.1,71.4,38.8
2016-06-19,0,0,0,0,56.7,72.3,44.2
2016-06-20,0,0,0,0,54.1,66,44.4
2016-06-21,0,0,0,0,57.9,72.7,45.3
2016-06-22,0,0,0,0,50.7,68,38.8
2016-06-23,0,0,0,0,50.7,62.2,39.6
2016-06-24,0,0,0,0,52.7,70,40.8
2016-06-25,0,0,0,0,52.2,66.9,39.6
2016-06-26,0,0,0,0,53.4,68,41.2
2016-06-27,0,0,0,0,53.1,67.3,39.9
2016-06-28,0,0,0,0,54.9,70.9,41.4
2016-06-29,0,0,0,0,52.5,65.7,42.6
2016-06-30,0,0,0,0,46,54.7,41.4
2016-07-01,0,0,0,0,44.8,51.4,40.3
2016-07-02,0,0,0,0,44.4,53.1,39
2016-07-03,0,0,0,0,45.7,62.1,37.2
2016-07-04,0,0,0,0,49.5,63.9,37
2016-07-05,0,0,0,0,52.2,64.4,41.9
2016-07-06,0,0,0,0,54,64.8,44.8
2016-07-07,0,0,0,0,53.6,65.5,42.8
2016-07-08,0,0,0,0,55,70,42.1
2016-07-09,0,0,0,0,55.6,70.5,42.3
2016-07-10,0,0,0,0,59.2,72.9,49.8
2016-07-11,0,0,0,0,50.4,60.6,38.8
2016-07-12,0,0,0,0,52.7,66,40.8
2016-07-13,0,0,0,0,53.4,66.2,42.4
2016-07-14,0,0,0,0,51.1,65.5,38.7
2016-07-15,0,0,0,0,52,66.4,40.1
2016-07-16,0,0,0,0,55.2,70,43.5
2016-07-17,0,0,0,0,55.6,71.8,44.8
2016-07-18,0,0,0,0,52.2,62.6,42.4
2016-07-19,0,0,0,0,53.2,68.7,43.9
2016-07-20,0,0,0,0,50,67.5,41.7
2016-07-21,0,0,0,0,48.9,64.2,41.2
2016-07-22,0,0,0,0,52.2,68.4,41.9
2016-07-23,0,0,0,0,55,71.1,43.7
2016-07-24,0,0,0,0,53.2,69.8,40.6
2016-07-25,0,0,0,0,55,70,43.5
2016-07-26,0,0,0,0,52,64.2,43
2016-07-27,0,0,0,0,54.1,70.3,42.4
2016-07-28,0,0,0,0,55.8,70,43
2016-07-29,0,0,0,0,54.1,68.4,40.3
2016-07-30,0,0,0,0,55.6,70.7,44.6
2016-07-31,0,0,0,0,49.6,64.9,42.1
2016-08-01,0,0,0,0,51.6,66.2,40.5
2016-08-02,0,0,0,0,52.5,65.1,44.1
2016-08-03,0,0,0,0,55,70,42.3
2016-08-04,0,0,0,0,46,53.2,40.1
2016-08-05,0,0,0,0,45.7,51.6,41.4
2016-08-06,0,0,0,0,47.3,58.5,39.9
2016-08-07,0,0,0,0,49.3,66,40.1
2016-08-08,0,0,0,0,49.5,62.2,40.8
2016-08-09,0,0,0,0,30,67.6,
2016-08-10,0,0,0,0,48,61.9,40.6
